,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018
Cash and cash equivalents,4867000000,3592000000,3057000000,5490000000,6081000000,7341000000,6460000000,7168000000,8261000000,7857000000
Short-term investments,0,0,0,0,0,0,0,0,0,0
Cash and short-term investments,4867000000,3592000000,3057000000,5490000000,6081000000,7341000000,6460000000,7168000000,8261000000,7857000000
Receivables,27162000000,28849000000,30803000000,33911000000,33499000000,32772000000,30507000000,29088000000,30725000000,31899000000
Inventories,6360000000,9587000000,14544000000,15547000000,12625000000,12205000000,9700000000,8614000000,10018000000,11529000000
Total current assets,27217000000,31810000000,37900000000,42138000000,38335000000,38867000000,33508000000,31967000000,36244000000,38603000000
"Property, Plant & Equipment Net",12386000000,12539000000,14395000000,16461000000,17075000000,16577000000,16090000000,15322000000,14155000000,13574000000
Goodwill and Intangible Assets,2734000000,3419000000,11448000000,10958000000,10552000000,9770000000,9436000000,8369000000,8311000000,8114000000
Long-term investments,105000000,164000000,133000000,272000000,272000000,257000000,0,0,0,0
Tax assets,3930000000,3424000000,3737000000,3558000000,2147000000,3143000000,2489000000,2790000000,1693000000,1439000000
Total non-current assets,32821000000,32210000000,43318000000,46832000000,46561000000,45814000000,44834000000,42737000000,40718000000,39906000000
Total assets,60038000000,64020000000,81218000000,88970000000,84896000000,84681000000,78342000000,74704000000,76962000000,78509000000
Payables,2993000000,5856000000,8161000000,6753000000,6560000000,6515000000,5023000000,4614000000,6487000000,7051000000
Short-term debt,9784000000,7981000000,9648000000,12391000000,11031000000,11501000000,12844000000,13965000000,11031000000,11553000000
Total current liabilities,18975000000,22020000000,28357000000,29415000000,27297000000,27877000000,26242000000,26132000000,26931000000,28218000000
Long-term debt,21847000000,20437000000,24944000000,27752000000,26719000000,27784000000,25169000000,22818000000,23847000000,25000000000
Deferred revenue,0,0,0,0,0,0,0,0,0,0
Tax Liabilities,0,0,0,0,0,0,0,0,0,0
Deposit Liabilities,1217000000,1831000000,2487000000,2638000000,2360000000,1697000000,1146000000,1167000000,1426000000,1243000000
Total non-current liabilities,31763000000,30675000000,39459000000,41973000000,36721000000,39978000000,37215000000,35359000000,36265000000,36211000000
Total liabilities,50738000000,52695000000,67816000000,71388000000,64018000000,67855000000,63457000000,61491000000,63196000000,64429000000
Other comprehensive income,-3764000000,-4051000000,-6328000000,-6433000000,-3898000000,-6431000000,-2035000000,-2039000000,-1192000000,-1684000000
Retained earnings (deficit),19711000000,21384000000,25219000000,29558000000,31854000000,33887000000,29246000000,27377000000,26301000000,30427000000
Total shareholders equity,8740000000,10824000000,12883000000,17532000000,20811000000,16746000000,14809000000,13213000000,13766000000,14080000000
Investments,105000000,164000000,133000000,272000000,272000000,257000000,0,0,0,0
Net Debt,26764000000,24826000000,31535000000,34653000000,31669000000,31944000000,31553000000,29615000000,26617000000,28696000000
Total debt,31631000000,28418000000,34592000000,40143000000,37750000000,39285000000,38013000000,36783000000,34878000000,36553000000
Other Assets,-11172000000,-10218000000,-10504000000,-12810000000,-13870000000,-13451000000,-13159000000,-12903000000,-12760000000,-12682000000
Other Liabilities,6198000000,8183000000,10548000000,10271000000,9706000000,9861000000,8375000000,7553000000,9413000000,9614000000
